PalashSetu Complete Hindi to Santali Word List
===============================================
Total entries: 7503
Hand-curated Hindi->Santali pairs: 7503
AI4Bharat model Ol Chiki tokens added: 0
AI4Bharat raw model tokens (Ol Chiki): 5448
Unique clean root words from model: 4597

Hindi/Phonetic Source               | Santali (Ol Chiki)          | Pronunciation (Devanagari)
----------------------------------------------------------------------------------------------------
-आ                                  | ᱼᱟ                             | -आ
-आग                                 | ᱼᱟᱜ                            | -आग
-आय                                 | ᱼᱟᱭ                            | -आय
-ए                                  | ᱼᱮ                             | -ए
-कअ                                 | ᱼᱠᱚ                            | -कअ
-ग                                  | ᱼᱜ                             | -ग
-ज                                  | ᱼᱡ                             | -ज
-प                                  | ᱼᱯ                             | -प
-पआ                                 | ᱼᱯᱟ                            | -पआ
-बआ                                 | ᱼᱵᱟ                            | -बआ
-म                                  | ᱼᱢ                             | -म
-मआ                                 | ᱼᱢᱟ                            | -मआ
-स                                  | ᱼᱥ                             | -स
-सउपउर                              | ᱼᱥᱩᱯᱩᱨ                         | -सउपउर
-ह                                  | ᱼᱦ                             | -ह
0                                   | ᱥᱩᱱ                            | सउन
1                                   | ᱢᱤᱫ                            | मइद
10                                  | ᱜᱮᱞ                            | गएल
100                                 | ᱥᱟᱭ                            | सआय
11                                  | ᱜᱮᱞ ᱢᱤᱫ                        | गएल मइद
12                                  | ᱜᱮᱞ ᱵᱟᱨ                        | गएल बआर
13                                  | ᱜᱮᱞ ᱯᱮ                         | गएल पए
14                                  | ᱜᱮᱞ ᱯᱩᱱ                        | गएल पउन
15                                  | ᱜᱮᱞ ᱢᱚᱬᱮ                       | गएल मअणए
16                                  | ᱜᱮᱞ ᱛᱩᱨᱩᱭ                      | गएल तउरउय
17                                  | ᱜᱮᱞ ᱮᱭᱟᱭ                       | गएल एयआय
18                                  | ᱜᱮᱞ ᱤᱨᱞ                        | गएल इरल
19                                  | ᱜᱮᱞ ᱟᱨᱮ                        | गएल आरए
2                                   | ᱵᱟᱨ                            | बआर
20                                  | ᱵᱟᱨ ᱜᱮᱞ                        | बआर गएल
21                                  | ᱵᱟᱨ ᱜᱮᱞ ᱢᱤᱫ                    | बआर गएल मइद
22                                  | ᱵᱟᱨ ᱜᱮᱞ ᱵᱟᱨ                    | बआर गएल बआर
23                                  | ᱵᱟᱨ ᱜᱮᱞ ᱯᱮ                     | बआर गएल पए
24                                  | ᱵᱟᱨ ᱜᱮᱞ ᱯᱩᱱ                    | बआर गएल पउन
25                                  | ᱵᱟᱨ ᱜᱮᱞ ᱢᱚᱬᱮ                   | बआर गएल मअणए
26                                  | ᱵᱟᱨ ᱜᱮᱞ ᱛᱩᱨᱩᱭ                  | बआर गएल तउरउय
